	Total_counts	X	Y	Annotation
Cell_542	632	9879.706016987946	-2402.255124357866	eL4
Cell_544	795	11910.411625450703	-2418.077575845868	eL2/3
Cell_545	303	56.79647507858107	-2397.136955545577	HPC
Cell_547	354	12793.886234223655	-2400.143997651893	eL2/3
Cell_548	483	4897.680806481654	-2403.217498603092	eL6-2
Cell_549	394	9065.103145478377	-2435.4258191349936	eL4
Cell_550	222	1519.775072054585	-2442.446326686665	Oligo
Cell_551	268	12339.975925462732	-2476.5818534267128	Endo
Cell_552	517	8971.452567608629	-2480.7585536311153	eL4
Cell_553	374	8762.017298556959	-2481.3356637088823	Endo
Cell_554	523	10775.797955850589	-2477.902323376008	VIP
Cell_555	418	5875.07868852459	-2468.329309488326	eL5
Cell_556	402	9214.418371141688	-2491.5673732490395	eL4
Cell_557	792	7949.356976611088	-2481.914800259453	eL4
Cell_558	575	8375.271878188525	-2507.4260262145826	eL4
Cell_559	398	4675.608398987057	-2501.907357906584	eL6-1
Cell_560	400	8619.853753656158	-2505.9441555627773	Astro-2
Cell_561	337	10357.302654356608	-2515.3481438738213	Astro-2
Cell_562	328	10908.300122216908	-2515.183750464956	Endo
Cell_563	485	9323.36140485804	-2518.036210985067	eL4
Cell_564	202	11593.626422463134	-2542.1200592552686	Astro-2
Cell_565	248	11701.318829445454	-2543.315616706244	eL2/3
Cell_566	794	6260.788397992902	-2527.96724187166	eL6-2
Cell_567	380	3188.882249182585	-2567.109017380829	eL6-2
Cell_568	282	1894.2250187611846	-2578.2832650233795	Oligo
Cell_569	706	7833.776540652511	-2592.445321940273	eL4
Cell_570	651	5160.499735589635	-2568.470474175921	Reln
Cell_571	869	4750.559976914432	-2604.1309498496407	eL6-2
Cell_573	367	9406.123972292356	-2577.8192529293715	eL4
Cell_575	586	9640.303373893803	-2588.301898967552	eL4
Cell_576	554	10758.184289426345	-2600.2797821307213	VIP
Cell_577	637	12354.714457624204	-2600.379061371841	eL2/3
Cell_578	321	3543.3048075567463	-2602.215423657127	eL6-1
Cell_580	648	11423.227783415483	-2617.730719049	eL2/3
Cell_581	347	4380.546015770907	-2625.934426229508	Astro-2
Cell_582	474	8859.519299087855	-2609.6089294287085	eL4
Cell_584	552	11070.157117198025	-2634.4453075886845	eL2/3
Cell_585	831	12081.764841321616	-2619.7217851797845	eL2/3
Cell_588	247	8246.641001506025	-2650.385604919679	Oligo
Cell_589	657	8470.13893025315	-2634.5527025395418	eL4
Cell_591	537	6267.937185804589	-2662.7124583146688	eL6-2
Cell_592	248	6510.625669045496	-2635.121041480821	eL5
Cell_593	228	7153.1762709467575	-2640.240330905749	Astro-2
Cell_594	307	12681.634820112464	-2654.794944586996	eL2/3
Cell_595	281	8105.333286739353	-2696.457459696207	Astro-1
Cell_596	904	7388.5661657189285	-2676.173517465475	eL5
Cell_597	384	3604.544609213565	-2686.614136380212	SST
Cell_599	666	10480.248647384944	-2700.224667690869	eL2/3
Cell_600	545	12540.942860037483	-2688.598348614559	eL2/3
Cell_601	481	5183.156844922487	-2704.9157703378282	eL6-1
Cell_602	451	5835.864819391135	-2696.002208317998	eL5
Cell_603	265	9499.308780891895	-2715.613074692807	Micro
Cell_604	417	1302.519166019166	-2723.030044030044	Oligo
Cell_605	304	9599.84628111604	-2713.125517033917	eL2/3
Cell_606	423	12245.15578396733	-2707.899738448125	eL2/3
Cell_607	462	13766.040384044343	-2718.9851034346234	Oligo
Cell_609	362	13659.665962099123	-2725.6951166180756	Astro-2
Cell_610	341	7883.186997767856	-2720.1506138392856	Endo
Cell_611	584	9169.415213523132	-2727.0021352313165	eL4
Cell_612	272	12035.212904248574	-2730.176918199112	eL2/3
Cell_613	569	10107.571923343341	-2753.158816285693	eL2/3
Cell_614	506	7146.9185265936085	-2762.6715244707093	eL6-1
Cell_615	767	4501.69393366558	-2749.463000515553	eL6-2
Cell_616	292	13152.812285427559	-2755.9526752231554	Micro
Cell_617	308	8902.434525080043	-2774.296157950907	Astro-2
Cell_618	430	11024.439561519934	-2761.817234429533	Astro-2
Cell_619	241	4278.245867313202	-2773.760800088164	Micro
Cell_620	255	6125.4983915167395	-2756.5185273442157	Oligo
Cell_621	639	3308.4597887615632	-2755.24485710341	eL6-2
Cell_622	451	7457.7196646774655	-2762.8004167850713	eL6-1
Cell_623	718	9888.003608516095	-2774.2351148710964	eL2/3
Cell_625	820	10876.802909497832	-2805.5304238355016	eL2/3
Cell_626	703	12590.237799290864	-2814.2448109637066	eL2/3
Cell_627	669	7895.625663589843	-2823.6213592233007	eL4
Cell_628	438	8243.272920669777	-2836.964486686797	Endo
Cell_629	211	5898.841770908376	-2819.3095815050106	Astro-1
Cell_630	333	6639.1051018568605	-2828.540111772129	Oligo
Cell_631	209	2876.790802927865	-2823.883220651506	Oligo
Cell_632	751	11668.687449478086	-2821.1651846905424	eL2/3
Cell_633	232	6494.381793245329	-2835.134236242071	Astro-1
Cell_634	291	2423.914653383147	-2856.5571606475714	Oligo
Cell_635	246	3480.760387252925	-2841.6495562726905	eL6-1
Cell_637	207	6720.130916154096	-2835.816769180965	Oligo
Cell_638	647	7023.0975683496745	-2851.6259663974433	eL4
Cell_639	769	10540.23349022964	-2860.314113535873	eL2/3
Cell_640	412	13118.952590959208	-2869.3089104941364	Reln
Cell_642	497	10007.907065706573	-2862.7769464446446	eL4
Cell_643	682	11886.481489820206	-2864.1912772184883	eL4
Cell_644	658	9342.740478397924	-2883.394956424995	eL4
Cell_646	647	11330.104060473665	-2889.416553972052	Oligo
Cell_647	468	153.16978417266188	-2884.2093525179853	HPC
Cell_648	622	8815.986072423399	-2901.769071794411	eL4
Cell_649	483	9542.045269286757	-2895.484958757885	eL4
Cell_651	310	3882.5834255502273	-2913.0630148776595	eL5
Cell_652	265	2398.603375896449	-2948.421199930033	Oligo
Cell_653	413	8501.546103025661	-2934.131654538491	eL4
Cell_654	391	12926.02696931718	-2967.2590168500205	Endo
Cell_655	428	3129.341524757663	-2963.4027246528685	Oligo
Cell_656	663	788.2033155847589	-2940.752010875722	eL5
Cell_657	374	629.8147021999642	-2968.1242622071186	Micro
Cell_658	383	139.79772757299511	-2972.3933148368346	Oligo
Cell_659	267	2617.700547730829	-2972.7917057902973	Oligo
Cell_661	256	9938.92293977813	-2987.0834653988372	Micro
Cell_662	504	10407.896252204586	-2975.6286596119926	eL4
Cell_663	301	4379.092704808373	-2990.079326355552	eL6-1
Cell_664	325	10044.187956529486	-2981.734307262901	Micro
Cell_665	355	5883.443242166755	-2986.6988847583643	eL6-2
Cell_666	640	4932.75169036061	-2986.1155079750347	eL6-2
Cell_667	340	11722.59234777574	-2967.6009842709636	Endo
Cell_668	1061	10839.360551282769	-3006.0455285465673	eL2/3
Cell_670	360	2835.458720524252	-3002.1064618359565	Oligo
Cell_671	1040	11273.085073201784	-2999.802418841502	PVALB
Cell_672	416	12515.513342882912	-3001.3748739986213	eL2/3
Cell_673	360	1547.1496354458775	-3013.925911385306	Oligo
Cell_674	367	1244.6431395397228	-3048.4453785009778	Astro-2
Cell_675	217	13673.545295770371	-3012.4351887007365	Astro-2
Cell_677	513	3691.825081511895	-3024.4784446322906	eL6-2
Cell_678	425	9453.903776715135	-3035.8316580462565	eL4
Cell_679	453	8243.873990661907	-3026.989014007141	eL4
Cell_680	239	2358.0693064577763	-3043.666459686664	Oligo
Cell_681	382	3817.7915890338036	-3058.4465264838973	eL6-2
Cell_682	295	8978.076134122288	-3061.6869822485205	eL4
Cell_683	255	9279.678230932202	-3050.1325918079096	PVALB
Cell_684	316	10130.150963426933	-3068.4330378470195	Oligo
Cell_685	575	12377.327016306743	-3068.518192057196	eL2/3
Cell_686	358	8573.483808719773	-3067.2795031055903	eL4
Cell_687	325	2728.1598922338057	-3085.2604544922106	Reln
Cell_688	269	9121.914787296995	-3070.5323821421525	eL4
Cell_689	761	752.2757794676806	-3086.247946768061	eL6-2
Cell_690	377	2569.6102011293106	-3095.052125624154	Oligo
Cell_691	769	5730.760681240093	-3076.250562170532	PVALB
Cell_692	474	5889.51979805979	-3106.5624133834885	SST
Cell_693	403	3605.7832772705433	-3104.6440584883644	eL6-1
Cell_694	265	8421.82225890769	-3087.3010042646856	eL4
Cell_695	343	1971.5562997986167	-3089.067375886525	Oligo
Cell_696	309	5281.154065090954	-3111.867838138844	Micro
Cell_697	478	12520.830922330095	-3119.364126213592	eL2/3
Cell_698	207	5162.241007777056	-3109.7346079066747	Micro
Cell_699	434	12843.98581861413	-3102.6895380434785	Astro-2
Cell_700	469	3109.3718163044546	-3115.296882682663	eL6-2
Cell_701	587	6561.9608535794105	-3126.322110878812	eL5
Cell_702	305	7830.611671430883	-3152.971414702551	SST
Cell_703	252	964.340937256162	-3156.994675724056	Astro-1
Cell_705	299	8632.113784949228	-3152.7077479482537	eL4
Cell_706	357	10847.155834136933	-3134.1131629701063	eL2/3
Cell_709	234	10537.95958780511	-3176.676559977205	Micro
Cell_710	280	4695.3617613200295	-3208.645961243284	Endo
Cell_711	306	7599.75807988909	-3194.7172255437126	Oligo
Cell_712	229	13191.12100886918	-3199.390687361419	Endo
Cell_714	419	3493.991927671941	-3211.808976428802	eL6-2
Cell_715	221	1957.646922915354	-3218.7018133445354	Oligo
Cell_716	253	2296.2310702272257	-3240.326354088007	Oligo
Cell_717	340	9433.626521030948	-3237.342962537128	eL4
Cell_720	434	4851.737790343145	-3222.5469261045514	eL6-1
Cell_721	546	3163.1275102185887	-3261.2718144659675	eL5
Cell_723	721	9179.914874057731	-3251.3877918735056	eL4
Cell_724	862	5420.8777454780375	-3292.023158914729	eL6-2
Cell_726	495	3398.559895833333	-3276.1953125	eL6-2
Cell_727	256	4023.7366710306533	-3294.917972100582	Endo
Cell_729	434	3834.5000666933443	-3289.026277177538	eL6-2
Cell_731	591	2607.8250893921336	-3307.973513441929	Oligo
Cell_733	534	8987.674425934263	-3300.910895992796	eL4
Cell_736	369	4817.730285572694	-3353.1290962026887	Astro-2
Cell_738	314	12381.584829928472	-3345.110070498637	eL2/3
Cell_739	287	2867.6110561353003	-3324.503643396905	Oligo
Cell_740	521	8490.711434580016	-3372.4931343037397	eL4
Cell_741	312	13336.230149253734	-3368.38592750533	Micro
Cell_742	251	3517.274737394958	-3374.0822478991595	Endo
Cell_743	356	8228.23807147135	-3367.2023857057293	eL4
Cell_744	217	2287.453808353808	-3369.241400491401	Oligo
Cell_745	476	3293.569457448381	-3367.3803281919872	eL6-2
Cell_746	254	7617.107940131913	-3355.62626839168	eL4
Cell_747	594	6150.335023493221	-3418.905993306967	eL5
Cell_748	802	6928.143421017059	-3400.29711535862	eL5
Cell_749	454	1369.396909098284	-3414.7760110331396	Astro-2
Cell_750	266	7824.126729013832	-3414.1990815926533	Astro-2
Cell_751	464	13568.302459877006	-3446.259149542523	Oligo
Cell_752	361	2826.7049630060687	-3478.2824839970067	Oligo
Cell_753	903	10959.170543849212	-3460.281254892139	eL2/3
Cell_754	306	6394.790090750239	-3460.9673637337237	eL4
Cell_755	644	7990.409354937328	-3482.447072760624	SST
Cell_756	201	2258.627073815821	-3489.1977037749457	Oligo
Cell_758	420	7090.425116237482	-3469.077297925608	Astro-1
Cell_759	381	3410.134151547492	-3543.6117395944507	Astro-2
Cell_762	902	9857.723982184305	-3496.256790665579	eL4
Cell_763	698	9392.922944871445	-3495.693496156997	eL4
Cell_764	399	1501.3238988068535	-3497.6942675159235	Oligo
Cell_765	314	8820.197089332714	-3515.3965010063475	eL4
Cell_766	558	4729.792425771498	-3524.964147235353	eL6-2
Cell_768	594	8236.942511525276	-3519.266952992632	eL4
Cell_769	741	12119.74165046225	-3520.751100194453	eL2/3
Cell_770	287	5463.881487558107	-3538.7068635493574	Astro-2
Cell_771	273	6352.536599241466	-3533.610872313527	Micro
Cell_772	591	8686.976694141053	-3553.2972918104674	eL4
Cell_773	425	7471.354924142106	-3569.817449207371	Astro-1
Cell_775	509	8911.174744494785	-3555.4040670108525	eL4
Cell_776	290	4185.253319768687	-3567.887342043264	eL6-2
Cell_777	279	7130.722304011779	-3569.7008342534664	Astro-1
Cell_778	407	11851.669934346612	-3558.2161165572443	eL2/3
Cell_779	410	11246.724559725877	-3575.227109729859	eL2/3
Cell_780	375	12516.297523681887	-3568.8437452407784	eL2/3
Cell_781	321	5946.968055960361	-3618.711804138735	Endo
Cell_782	584	3807.418459370596	-3605.9641615782057	eL6-2
Cell_783	417	1103.228938049995	-3607.852504995968	Astro-2
Cell_785	875	7270.183200653195	-3609.4439001156697	eL4
Cell_786	231	1601.9652957247283	-3611.8314996677254	Endo
Cell_787	747	4482.7217903849705	-3657.3498250138146	eL6-2
Cell_788	894	4799.313381585592	-3636.806261572126	PVALB
Cell_789	625	738.7914231950084	-3633.9874550196423	eL5
Cell_790	629	7679.134628780935	-3652.242566452796	eL4
Cell_791	425	11784.41925676884	-3671.1820522908547	Micro
Cell_792	597	12202.976982268316	-3657.1367346938778	Astro-2
Cell_793	254	6667.059836988934	-3653.126300443973	eL5
Cell_794	1189	2969.7603951666233	-3621.2846321864417	Oligo
Cell_796	876	7952.439248280926	-3664.4177515187926	eL4
Cell_798	548	12375.090340514244	-3671.052660026253	eL2/3
Cell_799	456	10333.018353271247	-3695.358570704906	eL2/3
Cell_800	376	6525.965982224946	-3709.46648570553	eL5
Cell_801	685	10033.637036250357	-3712.835209572359	eL2/3
Cell_802	323	1651.940743165821	-3723.521471053637	Oligo
Cell_803	489	3609.479379251701	-3714.085778061225	eL6-2
Cell_804	430	5773.305833552805	-3762.9867658677904	eL4
Cell_805	389	8453.771813626678	-3728.040718769798	eL2/3
Cell_806	547	3776.402959899886	-3744.232493606834	eL6-2
Cell_807	543	8712.713638080846	-3742.9891386475256	eL4
Cell_808	612	9047.867991290146	-3744.6459240609693	eL2/3
Cell_809	362	8203.847209245143	-3735.3488566510937	Astro-2
Cell_810	430	8582.778913420987	-3762.574696105185	eL4
Cell_811	331	5417.186598249321	-3775.6600664050707	Reln
Cell_812	452	9408.94731475187	-3763.201903467029	Reln
Cell_813	698	6032.546969509936	-3774.3969880261693	eL5
Cell_814	403	9550.15698034176	-3795.349040887239	eL4
Cell_815	718	672.3368716827972	-3810.069466125508	eL5
Cell_816	446	3902.030204126791	-3796.885821762461	eL2/3
Cell_817	1183	4230.941938231095	-3809.1690504220624	PVALB
Cell_818	496	5895.4847195357825	-3791.68051948052	Astro-2
Cell_819	553	9276.418332742824	-3811.685832869363	eL4
Cell_820	425	3048.624989642887	-3808.400903140277	Oligo
Cell_821	287	6704.930691592503	-3811.354298215085	Micro
Cell_822	385	12560.932523775837	-3808.8283423720814	eL2/3
Cell_823	671	10333.050259760705	-3816.2792034005042	eL2/3
Cell_824	459	1844.427432359792	-3810.702024726752	Oligo
Cell_825	349	2236.4384177030906	-3841.228692650056	Oligo
Cell_826	288	108.01540766103146	-3832.485020329553	Endo
Cell_827	279	1438.3206240057473	-3826.68994714425	Astro-2
Cell_828	217	8879.554695895122	-3829.4031807436068	eL4
Cell_829	235	3578.1234880227685	-3838.7704956913594	eL6-2
Cell_830	364	7448.770508826585	-3819.146733486839	Astro-2
Cell_831	931	10576.75194736842	-3822.1405789473683	eL2/3
Cell_833	645	6302.396338883975	-3841.6976118140215	eL6-1
Cell_834	465	12992.620841804732	-3845.9296621533936	Endo
Cell_836	317	2725.083333333333	-3874.883493418712	Micro
Cell_837	492	3774.1186925434117	-3865.1095675859724	eL6-2
Cell_838	251	4009.7132095420598	-3865.1050023128255	eL6-2
Cell_839	692	10959.01313668846	-3894.057625057017	eL2/3
Cell_841	1156	9777.324634356179	-3914.9215989058257	eL2/3
Cell_842	372	12823.947593435389	-3842.2632280604976	Astro-2
Cell_843	441	1749.1158090305146	-3885.929343542394	Oligo
Cell_844	283	3282.649566803465	-3904.619699042408	eL6-2
Cell_845	265	5861.074998143609	-3897.4433801143537	Astro-2
Cell_846	423	7759.2774593410695	-3892.388741320658	eL4
Cell_847	343	1063.2117562466294	-3894.467433638924	Endo
Cell_848	788	11682.884092443188	-3914.266658095207	eL2/3
Cell_849	356	6156.49393147399	-3933.7135798933086	Astro-2
Cell_851	211	7133.851342953809	-3923.460747082787	eL5
Cell_852	605	13123.788228652082	-3866.35525758645	Endo
Cell_853	557	5178.46541359105	-3925.994064378662	Reln
Cell_854	616	7322.985408943923	-3939.7301837684363	PVALB
Cell_855	662	8919.350394226914	-3961.0973317296985	Reln
Cell_856	225	3863.6654873220455	-3937.3167382697334	eL6-2
Cell_857	622	8513.791838161062	-3981.2533587015614	eL4
Cell_858	356	12887.398082629536	-3975.5589134900706	Endo
Cell_859	229	782.4121625974361	-3939.2093023255816	Astro-1
Cell_860	703	12078.410949241746	-3982.0589511950297	eL6-1
Cell_861	700	7935.386518546414	-3958.638109583881	eL4
Cell_862	320	9099.131545899787	-3967.934321235715	eL4
Cell_864	203	3750.048136768298	-3970.447490742929	eL6-2
Cell_865	332	1034.2263843648211	-3998.237649294245	Astro-2
Cell_866	835	4769.427440025344	-3992.342337931631	Oligo
Cell_867	648	9235.25814054998	-3998.9921431689213	eL4
Cell_868	453	3456.815540171251	-3988.7353798506106	eL6-2
Cell_869	218	12491.708645336963	-4008.2386355041217	eL2/3
Cell_870	634	10157.439786500612	-4012.1302494532783	eL2/3
Cell_871	378	10538.738789176137	-4038.88435150118	VIP
Cell_872	277	748.4462719298245	-4043.666860165119	Oligo
Cell_873	956	5588.019769409111	-4023.030609687324	Reln
Cell_874	919	11490.64479064076	-4026.507804339392	eL2/3
Cell_875	276	1772.644380733945	-4035.4541857798167	Oligo
Cell_876	471	8191.038769906646	-4025.356562328391	eL4
Cell_877	541	11777.84633503673	-4081.345456723092	Micro
Cell_878	519	271.6287620029645	-4060.6369143520005	Micro
Cell_879	603	3342.2850573665996	-4059.9462757239116	eL6-2
Cell_880	706	5852.138549633603	-4056.0281504024347	eL6-1
Cell_881	754	7719.53205760505	-4061.326034063261	PVALB
Cell_882	483	6884.285560923242	-4043.078739832363	eL5
Cell_883	498	9016.514427307677	-4071.174285581955	eL4
Cell_884	382	10429.488068181818	-4068.428282828283	VIP
Cell_885	290	1366.691427179737	-4064.546273745738	Oligo
Cell_887	871	10954.612974456912	-4066.9485557412268	eL2/3
Cell_888	419	8054.2256135285625	-4090.966642606723	eL4
Cell_889	458	520.0736071235385	-4119.050014563309	HPC
Cell_890	786	8786.693620537368	-4055.975524973645	eL4
Cell_891	673	7196.321908464633	-4122.946661210013	Oligo
Cell_892	356	8234.372737719046	-4125.4087187589785	eL4
Cell_893	600	11660.28853403363	-4105.897793214452	eL2/3
Cell_894	231	2319.6146824438542	-4116.4630765515585	Oligo
Cell_895	268	8336.307028581701	-4104.684522739529	Endo
Cell_896	252	9305.39175919389	-4114.55939926834	Endo
Cell_898	362	3783.482253404871	-4135.830633512175	Oligo
Cell_899	1042	5578.880079911676	-4178.390568319226	SST
Cell_900	254	12762.8910543131	-4156.292058420811	Endo
Cell_901	306	1439.4168957496302	-4167.933231127088	Oligo
Cell_902	364	1985.5217171376544	-4168.474000134889	Astro-2
Cell_903	865	2951.0946610556202	-4220.8890635298885	eL6-1
Cell_904	442	7337.274406838131	-4179.941776227529	Oligo
Cell_905	421	4685.492397660819	-4187.108966861599	eL6-2
Cell_906	507	3669.9610910962433	-4214.5406587750895	eL6-2
Cell_907	490	4449.7279960663345	-4209.0154217513755	eL6-2
Cell_908	241	6790.297630799604	-4214.663499506417	eL5
Cell_909	338	11957.344885078002	-4245.7943908538755	eL2/3
Cell_910	306	10013.7860017002	-4243.505355624823	Astro-2
Cell_911	387	7844.891001335113	-4251.7488918558065	eL6-1
Cell_912	318	8104.4749346120325	-4266.155013077594	eL4
Cell_913	315	10382.00836254593	-4228.647506018499	eL2/3
Cell_914	234	1356.266998548019	-4256.0287907073225	Oligo
Cell_915	365	5847.9580994958615	-4281.233139922001	Oligo
Cell_916	462	5332.54306606581	-4260.01607006207	Oligo
Cell_917	674	12070.102826193192	-4271.171404137483	eL2/3
Cell_918	482	9367.796592453224	-4242.7804606111295	eL4
Cell_919	511	10767.546983929566	-4272.920073315223	eL2/3
Cell_922	491	11290.035090993933	-4284.933691087261	eL2/3
Cell_923	419	5750.941156208738	-4303.824214937712	Reln
Cell_924	223	10252.275977301388	-4289.6375157629245	eL5
Cell_925	442	7737.191930811179	-4299.386971710975	eL4
Cell_926	327	8943.66074735293	-4304.8348606428945	eL2/3
Cell_927	355	12646.787178180964	-4309.792703475841	Micro
Cell_928	750	6303.05060330425	-4309.25598663449	PVALB
Cell_929	359	9083.162116381029	-4314.891490633719	eL4
Cell_931	612	6712.636660309388	-4330.937317228227	eL5
Cell_932	237	1948.3699293048305	-4352.741415586602	Oligo
Cell_933	488	10098.50818359103	-4373.87512188327	Astro-2
Cell_934	255	8753.996938150643	-4325.895948152685	eL4
Cell_935	330	2537.5755180892165	-4336.26565975881	Oligo
Cell_936	261	10545.861418614186	-4326.389862648626	eL2/3
Cell_937	683	505.15639252611453	-4349.022068559659	HPC
Cell_938	406	11370.783754397185	-4339.963223536936	eL2/3
Cell_939	534	9717.470657651336	-4324.272182177712	SST
Cell_940	471	9939.485369805567	-4341.076057948913	eL2/3
Cell_941	339	3660.9940001874943	-4358.552076497609	Oligo
Cell_942	906	6479.992010619115	-4357.088459226608	Astro-1
Cell_943	349	7993.258298254089	-4362.059554206059	Reln
Cell_944	497	5090.3202307969705	-4366.631365949433	eL6-1
Cell_945	543	5594.584488984248	-4379.427704223141	eL6-2
Cell_946	654	9282.318675237326	-4384.267123579243	eL4
Cell_947	361	13005.224215784216	-4365.377462537463	Reln
Cell_948	737	11466.868311385231	-4387.958868144691	eL2/3
Cell_949	792	4026.926391171637	-4400.282842216483	eL6-2
Cell_950	546	12262.636831431426	-4374.9196960983145	eL2/3
Cell_951	472	11857.508624594904	-4379.1624560058535	VIP
Cell_952	570	3128.7096380984412	-4388.197637762179	eL6-2
Cell_953	788	10907.856566954897	-4409.327734283711	eL2/3
Cell_954	337	4428.767043748123	-4436.620332365602	Astro-2
Cell_955	244	5348.317915347638	-4438.997713682729	Oligo
Cell_956	457	5698.067746199605	-4435.666115884556	Astro-2
Cell_957	445	8476.76499357771	-4457.631162928565	eL5
Cell_958	383	1048.8454996456414	-4449.125868178597	Oligo
Cell_959	544	8161.660191323321	-4444.022698665772	eL4
Cell_960	201	8604.725312361259	-4446.922115811505	eL4
Cell_961	423	7998.739683173589	-4458.298256123536	eL4
Cell_962	311	9095.53261856138	-4441.630530973453	eL6-1
Cell_963	296	4914.179944331603	-4457.843413826826	eL4
Cell_964	336	9745.209134002751	-4459.4402874764255	eL4
Cell_966	731	10372.131967080846	-4461.246796837179	eL2/3
Cell_968	383	2850.9632810909834	-4462.5099124771	Oligo
Cell_969	979	7353.469872953053	-4484.15194011873	Astro-1
Cell_970	308	3300.397051460361	-4502.871599443672	eL6-2
Cell_971	760	5954.833000912748	-4494.795172576993	eL6-2
Cell_972	510	12773.075481842998	-4496.903962279758	Astro-2
Cell_973	961	7217.1020493226815	-4512.548662730114	eL4
Cell_974	376	11523.030463836478	-4523.458529874214	Astro-2
Cell_975	329	1761.8012567324954	-4522.6203321364455	Astro-2
Cell_976	582	6377.52802425318	-4532.3883096716945	PVALB
Cell_977	263	2160.076777382548	-4533.9181410819065	Oligo
Cell_978	604	4667.585570599613	-4535.211528046421	eL6-2
Cell_979	217	1527.9428313912315	-4568.551406682547	Astro-2
Cell_980	220	3020.7697645079893	-4585.121250350435	eL5
Cell_981	628	2673.1640915119365	-4595.941677718833	eL6-2
Cell_982	298	8958.317872790452	-4606.870876768898	Astro-2
Cell_983	364	12504.30720104802	-4606.074753346706	eL2/3
Cell_984	332	875.4499160928187	-4599.630461200161	Astro-2
Cell_985	510	8133.257246243031	-4604.292249750766	eL4
Cell_986	207	1030.0868077827668	-4611.247095716628	Astro-2
Cell_987	354	7737.279278482692	-4601.05004642115	eL4
Cell_988	303	12274.832792875086	-4608.4011418132	Endo
Cell_989	358	3712.8639221253297	-4610.232474819171	eL6-2
Cell_990	325	6594.734809054995	-4615.532012290713	PVALB
Cell_991	326	789.2481446101845	-4603.1506356087875	Astro-2
Cell_992	290	5386.76629618504	-4617.030554005923	Endo
Cell_993	669	9737.27729442432	-4635.883442228917	eL2/3
Cell_994	632	4308.290650632816	-4639.493374902572	eL6-2
Cell_995	267	9161.504534749713	-4620.636368191612	Micro
Cell_996	637	6711.153800973318	-4613.8250964927	PVALB
Cell_997	588	10022.468123297846	-4595.155886358009	eL4
Cell_999	391	3258.6226586263947	-4655.707881957415	eL6-2
Cell_1000	320	4690.949620920778	-4651.410669157235	eL5
Cell_1001	376	1400.2865769560517	-4631.991016513214	Oligo
Cell_1002	413	10503.717276784217	-4660.155789685602	eL6-1
Cell_1003	788	11439.904257595208	-4660.364142062474	eL2/3
Cell_1004	948	4090.799374894408	-4671.37610519795	eL6-2
Cell_1005	674	7869.895979634832	-4685.837283473783	Astro-1
Cell_1006	204	3735.9517048295174	-4693.144085591441	eL6-2
Cell_1007	286	9277.507731958764	-4693.204447374729	eL4
Cell_1008	448	463.19616111676595	-4696.772429838592	Micro
Cell_1009	419	10673.248412040874	-4714.933305716653	eL6-1
Cell_1010	266	8658.989515786921	-4699.540573298588	eL4
Cell_1011	536	8795.684210526315	-4709.1822348664455	eL4
Cell_1012	772	2944.235428695936	-4720.446925954171	eL6-2
Cell_1013	281	8071.622312012053	-4716.891453225586	eL4
Cell_1014	371	11142.130824877866	-4749.690811724916	eL2/3
Cell_1015	436	13656.699641189858	-4746.997492187199	Reln
Cell_1016	648	11393.03633260937	-4761.438814768849	Astro-2
Cell_1018	460	6947.481365435357	-4727.707330145119	Astro-2
Cell_1019	277	12685.374858937246	-4757.397723369805	Reln
Cell_1020	235	6671.79757130754	-4759.836091499577	Micro
Cell_1021	585	12162.60076320546	-4753.718497690299	eL2/3
Cell_1022	317	1455.5865101095196	-4786.724831508003	Oligo
Cell_1023	562	10793.018026250207	-4802.8184914437625	PVALB
Cell_1024	731	3258.451582477468	-4807.018060504436	eL6-2
Cell_1025	586	9756.84820941647	-4809.13953826577	eL2/3
Cell_1026	456	9081.348613173845	-4802.743025729539	eL4
Cell_1027	282	5880.686284758521	-4829.817896717541	Oligo
Cell_1028	502	10929.024936770644	-4845.151262368549	PVALB
Cell_1029	819	6842.852587306513	-4838.293791153859	eL6-1
Cell_1030	283	5687.235388847883	-4832.351070254311	Oligo
Cell_1031	815	7069.765557719206	-4845.148514851485	eL4
Cell_1032	1252	6167.756343674549	-4819.371919274749	Astro-1
Cell_1033	430	8765.659681859895	-4834.11767105129	eL4
Cell_1034	642	9276.601283442646	-4849.864908224414	eL4
Cell_1035	251	10248.47481249631	-4837.002185082383	Oligo
Cell_1036	509	4249.1385263840475	-4834.268379670909	eL6-2
Cell_1037	383	11957.459394356503	-4864.7475911906395	eL2/3
Cell_1038	333	10609.80859300325	-4861.932469891034	eL2/3
Cell_1039	337	12114.7479389747	-4864.0336397233	Micro
Cell_1040	387	1023.3101404458188	-4854.666838465833	Astro-2
Cell_1041	421	3046.811096600244	-4844.692547499684	Oligo
Cell_1042	441	7865.059959118783	-4867.803467332879	eL4
Cell_1043	293	8394.983724680036	-4872.101128690921	Oligo
Cell_1044	232	10119.842908146706	-4870.221032132425	Endo
Cell_1045	288	842.5700968460303	-4893.062302553213	SST
Cell_1046	381	9393.687805994052	-4903.03065660032	eL4
Cell_1047	374	4584.756619432055	-4904.72060068876	eL6-1
Cell_1048	493	8583.070188310101	-4887.5211950762205	eL4
Cell_1049	704	9172.861159564749	-4935.0063543483675	eL2/3
Cell_1050	781	9650.695278823128	-4921.405576462538	eL2/3
Cell_1051	474	4041.8763256518623	-4901.124511601945	Astro-2
Cell_1052	542	5699.339796122325	-4934.1163302018795	eL5
